"Date","Sales"
"2017-07-01","219.00"
"2017-07-01","699.00"
"2017-07-01","999.00"
"2017-07-01","499.00"
"2017-07-02","1999.00"
"2017-07-02","279.80"
"2017-07-02","799.00"
"2017-07-02","399.00"
"2017-07-02","499.00"
"2017-07-03","499.00"
"2017-07-03","1499.00"
"2017-07-04","2799.00"
"2017-07-04","999.00"
"2017-07-05","999.00"
"2017-07-05","699.00"
"2017-07-05","558.00"
"2017-07-05","1499.00"
"2017-07-05","1999.00"
"2017-07-05","679.00"
"2017-07-05","1999.00"
"2017-07-06","1999.00"
"2017-07-06","399.00"
"2017-07-06","849.00"
"2017-07-06","849.00"
"2017-07-06","999.00"
"2017-07-06","319.00"
"2017-07-06","329.00"
"2017-07-06","249.00"
"2017-07-06","329.00"
"2017-07-07","72.00"
"2017-07-08","89.95"
"2017-07-08","699.00"
"2017-07-09","1999.00"
"2017-07-09","119.00"
"2017-07-09","599.00"
"2017-07-09","798.00"
"2017-07-09","1999.00"
"2017-07-09","999.00"
"2017-07-09","999.00"
"2017-07-10","2499.00"
"2017-07-10","79.95"
"2017-07-10","179.00"
"2017-07-10","2199.00"
"2017-07-10","13999.00"
"2017-07-10","159.00"
"2017-07-11","1539.00"
"2017-07-11","999.00"
"2017-07-11","166.00"
"2017-07-11","999.00"
"2017-07-11","209.00"
"2017-07-12","159.00"
"2017-07-12","29.95"
"2017-07-13","153.00"
"2017-07-14","749.00"
"2017-07-14","499.00"
"2017-07-14","1999.00"
"2017-07-16","499.00"
"2017-07-16","999.00"
"2017-07-16","999.00"
"2017-07-17","119.00"
"2017-07-17","299.00"
"2017-07-17","1999.00"
"2017-07-18","1599.00"
"2017-07-18","599.00"
"2017-07-18","1099.00"
"2017-07-18","1999.00"
"2017-07-18","209.00"
"2017-07-18","195.00"
"2017-07-19","1490.00"
"2017-07-19","34.95"
"2017-07-20","999.00"
"2017-07-20","594.00"
"2017-07-21","2999.00"
"2017-07-21","559.00"
"2017-07-21","279.00"
"2017-07-21","329.00"
"2017-07-21","1999.00"
"2017-07-21","1499.00"
"2017-07-21","129.00"
"2017-07-21","999.00"
"2017-07-22","395.00"
"2017-07-22","63.00"
"2017-07-23","4999.00"
"2017-07-24","499.00"
"2017-07-24","59.95"
"2017-07-24","53.00"
"2017-07-24","599.00"
"2017-07-25","3299.00"
"2017-07-25","519.00"
"2017-07-26","1499.00"
"2017-07-26","1499.00"
"2017-07-26","999.00"
"2017-07-26","144.00"
"2017-07-27","99.00"
"2017-07-27","99.00"
"2017-07-27","399.00"
"2017-07-27","1499.00"
"2017-07-27","299.00"
"2017-07-27","1499.00"
"2017-07-28","4999.00"
"2017-07-28","598.00"
"2017-07-28","1999.00"
"2017-07-28","1499.00"
"2017-07-28","104.85"
"2017-07-28","299.00"
"2017-07-29","3998.00"
"2017-07-29","4399.00"
"2017-07-29","598.00"
"2017-07-29","1499.00"
"2017-07-30","560.00"
"2017-07-30","370.00"
"2017-07-30","519.00"
"2017-07-30","12.95"
"2017-07-30","1999.00"
"2017-07-30","2239.00"
"2017-07-30","664.00"
"2017-07-31","2999.00"
"2017-07-31","1049.00"
"2017-07-31","2099.00"
"2017-07-31","79.95"
"2017-07-31","1999.00"
"2017-08-01","1497.00"
"2017-08-01","1119.00"
"2017-08-01","839.00"
"2017-08-01","3999.00"
"2017-08-02","4398.00"
"2017-08-02","899.00"
"2017-08-02","594.00"
"2017-08-02","1599.00"
"2017-08-02","350.00"
"2017-08-03","159.00"
"2017-08-04","529.00"
"2017-08-04","1039.00"
"2017-08-04","1999.00"
"2017-08-04","799.00"
"2017-08-04","1499.00"
"2017-08-04","299.00"
"2017-08-05","999.00"
"2017-08-05","897.00"
"2017-08-05","1999.00"
"2017-08-05","1299.00"
"2017-08-05","1279.00"
"2017-08-05","1250.00"
"2017-08-05","449.00"
"2017-08-05","68.00"
"2017-08-06","1499.00"
"2017-08-06","99.00"
"2017-08-06","2798.00"
"2017-08-07","2309.00"
"2017-08-07","1499.00"
"2017-08-07","199.00"
"2017-08-07","560.00"
"2017-08-07","119.00"
"2017-08-07","1499.00"
"2017-08-08","849.00"
"2017-08-08","111.00"
"2017-08-08","1799.00"
"2017-08-09","1279.00"
"2017-08-09","69.95"
"2017-08-09","3999.00"
"2017-08-09","1999.00"
"2017-08-09","299.00"
"2017-08-10","999.00"
"2017-08-10","799.00"
"2017-08-10","1047.00"
"2017-08-10","2299.00"
"2017-08-10","1099.00"
"2017-08-10","379.00"
"2017-08-10","1399.00"
"2017-08-11","399.00"
"2017-08-12","69.95"
"2017-08-12","209.00"
"2017-08-12","179.85"
"2017-08-13","999.00"
"2017-08-13","299.00"
"2017-08-13","159.00"
"2017-08-13","119.00"
"2017-08-13","799.00"
"2017-08-13","209.00"
"2017-08-13","699.00"
"2017-08-13","119.00"
"2017-08-13","169.00"
"2017-08-13","799.00"
"2017-08-13","1499.00"
"2017-08-14","1999.00"
"2017-08-14","159.00"
"2017-08-14","119.00"
"2017-08-14","1499.00"
"2017-08-14","1499.00"
"2017-08-14","299.00"
"2017-08-14","6450.00"
"2017-08-14","119.00"
"2017-08-15","3499.00"
"2017-08-15","2998.00"
"2017-08-15","649.00"
"2017-08-15","1099.00"
"2017-08-16","3999.00"
"2017-08-16","1499.00"
"2017-08-16","1999.00"
"2017-08-17","5998.00"
"2017-08-17","1999.00"
"2017-08-17","799.00"
"2017-08-17","219.00"
"2017-08-17","129.00"
"2017-08-18","999.00"
"2017-08-18","1995.00"
"2017-08-18","2998.00"
"2017-08-19","3998.00"
"2017-08-19","999.00"
"2017-08-19","1299.00"
"2017-08-19","3499.00"
"2017-08-20","999.00"
"2017-08-20","799.00"
"2017-08-20","799.00"
"2017-08-20","529.00"
"2017-08-20","999.00"
"2017-08-20","2199.00"
"2017-08-20","1999.00"
"2017-08-20","399.00"
"2017-08-20","999.00"
"2017-08-20","1099.00"
"2017-08-21","1499.00"
"2017-08-21","999.00"
"2017-08-21","999.00"
"2017-08-21","1999.00"
"2017-08-21","209.00"
"2017-08-22","749.00"
"2017-08-22","999.00"
"2017-08-22","398.00"
"2017-08-22","1499.00"
"2017-08-23","1197.00"
"2017-08-23","1495.00"
"2017-08-23","1499.00"
"2017-08-23","849.00"
"2017-08-24","999.00"
"2017-08-24","159.00"
"2017-08-24","1599.00"
"2017-08-24","1999.00"
"2017-08-25","1999.00"
"2017-08-25","998.00"
"2017-08-25","59.95"
"2017-08-25","1499.00"
"2017-08-25","4399.00"
"2017-08-25","1499.00"
"2017-08-26","1499.00"
"2017-08-27","219.00"
"2017-08-27","199.00"
"2017-08-27","249.00"
"2017-08-27","2199.00"
"2017-08-27","1999.00"
"2017-08-28","2499.00"
"2017-08-29","549.00"
"2017-08-30","1099.00"
"2017-08-30","1499.00"
"2017-08-30","89.95"
"2017-08-30","1499.00"
"2017-08-31","999.00"
"2017-08-31","1999.00"
"2017-08-31","299.00"
"2017-08-31","499.00"
"2017-09-01","999.00"
"2017-09-01","1099.00"
"2017-09-01","799.00"
"2017-09-01","1999.00"
"2017-09-01","458.00"
"2017-09-01","199.00"
"2017-09-01","999.00"
"2017-09-02","1192.00"
"2017-09-02","4999.00"
"2017-09-02","770.00"
"2017-09-02","1999.00"
"2017-09-03","458.00"
"2017-09-03","1999.00"
"2017-09-03","999.00"
"2017-09-03","199.00"
"2017-09-03","84.95"
"2017-09-03","3999.00"
"2017-09-03","849.00"
"2017-09-03","1999.00"
"2017-09-03","8499.00"
"2017-09-04","999.00"
"2017-09-04","1497.00"
"2017-09-04","169.00"
"2017-09-04","4999.00"
"2017-09-05","329.00"
"2017-09-05","749.00"
"2017-09-05","999.00"
"2017-09-05","1999.00"
"2017-09-06","499.00"
"2017-09-06","1999.00"
"2017-09-06","749.00"
"2017-09-06","1799.00"
"2017-09-06","2799.00"
"2017-09-06","1499.00"
"2017-09-06","3499.00"
"2017-09-07","159.00"
"2017-09-07","1198.00"
"2017-09-07","169.00"
"2017-09-07","199.00"
"2017-09-07","1299.00"
"2017-09-07","1999.00"
"2017-09-08","649.00"
"2017-09-08","2199.00"
"2017-09-08","79.95"
"2017-09-08","2199.00"
"2017-09-09","1999.00"
"2017-09-09","195.00"
"2017-09-09","749.00"
"2017-09-09","1999.00"
"2017-09-10","999.00"
"2017-09-10","1999.00"
"2017-09-10","799.00"
"2017-09-10","329.00"
"2017-09-11","999.00"
"2017-09-11","499.00"
"2017-09-11","1099.00"
"2017-09-11","1499.00"
"2017-09-11","2385.00"
"2017-09-12","499.00"
"2017-09-12","999.00"
"2017-09-12","1599.00"
"2017-09-12","1999.00"
"2017-09-12","1999.00"
"2017-09-13","1099.00"
"2017-09-13","3499.00"
"2017-09-13","399.00"
"2017-09-13","999.00"
"2017-09-14","1999.00"
"2017-09-14","999.00"
"2017-09-14","999.00"
"2017-09-14","1099.00"
"2017-09-14","1999.00"
"2017-09-15","219.00"
"2017-09-15","329.00"
"2017-09-15","1499.00"
"2017-09-16","399.00"
"2017-09-16","299.00"
"2017-09-16","1499.00"
"2017-09-16","1999.00"
"2017-09-17","1499.00"
"2017-09-17","1999.00"
"2017-09-17","199.00"
"2017-09-17","1499.00"
"2017-09-17","1499.00"
"2017-09-17","1999.00"
"2017-09-17","1999.00"
"2017-09-17","5600.00"
"2017-09-18","999.00"
"2017-09-18","319.00"
"2017-09-18","1999.00"
"2017-09-18","599.00"
"2017-09-18","159.00"
"2017-09-18","499.00"
"2017-09-19","5997.00"
"2017-09-19","179.85"
"2017-09-19","419.00"
"2017-09-19","1499.00"
"2017-09-19","129.00"
"2017-09-20","1999.00"
"2017-09-20","1099.00"
"2017-09-21","3499.00"
"2017-09-21","1099.00"
"2017-09-21","999.00"
"2017-09-21","2199.00"
"2017-09-21","2999.00"
"2017-09-21","1099.00"
"2017-09-21","999.00"
"2017-09-22","358.00"
"2017-09-22","159.00"
"2017-09-22","4398.00"
"2017-09-22","1499.00"
"2017-09-22","1399.00"
"2017-09-23","999.00"
"2017-09-24","999.00"
"2017-09-24","1499.00"
"2017-09-24","1499.00"
"2017-09-24","2995.00"
"2017-09-24","999.00"
"2017-09-24","1499.00"
"2017-09-24","49.00"
"2017-09-24","849.00"
"2017-09-24","1999.00"
"2017-09-24","1999.00"
"2017-09-25","1999.00"
"2017-09-25","219.00"
"2017-09-25","499.00"
"2017-09-25","1999.00"
"2017-09-26","1497.00"
"2017-09-26","999.00"
"2017-09-26","335.00"
"2017-09-27","1099.00"
"2017-09-27","1499.00"
"2017-09-27","999.00"
"2017-09-28","399.00"
"2017-09-28","1499.00"
"2017-09-28","1499.00"
"2017-09-28","2999.00"
"2017-09-29","119.00"
"2017-09-29","1198.00"
"2017-09-29","209.00"
"2017-09-29","49.95"
"2017-09-29","1049.00"
"2017-09-29","2397.00"
"2017-09-29","599.00"
"2017-09-30","1749.00"
"2017-09-30","143.80"
"2017-10-01","4998.00"
"2017-10-01","209.00"
"2017-10-01","999.00"
"2017-10-01","99.00"
"2017-10-01","90.00"
"2017-10-01","499.00"
"2017-10-01","1400.00"
"2017-10-01","90.00"
"2017-10-01","499.00"
"2017-10-01","1099.00"
"2017-10-01","2449.00"
"2017-10-01","1538.00"
"2017-10-01","1399.00"
"2017-10-01","1499.00"
"2017-10-02","68.00"
"2017-10-03","1999.00"
"2017-10-04","499.00"
"2017-10-04","318.00"
"2017-10-04","279.00"
"2017-10-04","209.00"
"2017-10-04","1499.00"
"2017-10-04","1999.00"
"2017-10-06","399.00"
"2017-10-07","139.00"
"2017-10-07","3998.00"
"2017-10-07","79.95"
"2017-10-07","2359.00"
"2017-10-08","48.00"
"2017-10-08","32.00"
"2017-10-08","1999.00"
"2017-10-08","83.00"
"2017-10-08","209.00"
"2017-10-08","1197.00"
"2017-10-08","1499.00"
"2017-10-08","1999.00"
"2017-10-09","425.00"
"2017-10-09","24.00"
"2017-10-09","899.00"
"2017-10-09","1499.00"
"2017-10-09","329.00"
"2017-10-10","1497.00"
"2017-10-10","209.00"
"2017-10-10","225.00"
"2017-10-11","1999.00"
"2017-10-11","1599.00"
"2017-10-11","1999.00"
"2017-10-12","1999.00"
"2017-10-12","58.00"
"2017-10-12","499.00"
"2017-10-13","111.00"
"2017-10-14","209.00"
"2017-10-14","1999.00"
"2017-10-14","1999.00"
"2017-10-15","529.00"
"2017-10-15","499.00"
"2017-10-15","3599.00"
"2017-10-15","999.00"
"2017-10-15","169.00"
"2017-10-15","1099.00"
"2017-10-16","1999.00"
"2017-10-17","1099.00"
"2017-10-17","127.00"
"2017-10-17","1058.00"
"2017-10-17","529.00"
"2017-10-17","399.00"
"2017-10-17","1999.00"
"2017-10-17","1999.00"
"2017-10-18","167.00"
"2017-10-18","999.00"
"2017-10-18","849.00"
"2017-10-19","3998.00"
"2017-10-20","135.00"
"2017-10-20","39.95"
"2017-10-20","849.00"
"2017-10-21","499.00"
"2017-10-21","879.00"
"2017-10-21","699.00"
"2017-10-21","139.00"
"2017-10-22","399.00"
"2017-10-22","769.00"
"2017-10-22","209.00"
"2017-10-22","89.95"
"2017-10-22","999.00"
"2017-10-23","127.00"
"2017-10-23","1298.00"
"2017-10-23","119.00"
"2017-10-23","1049.00"
"2017-10-23","2399.00"
"2017-10-23","39.00"
"2017-10-23","799.00"
"2017-10-23","1099.00"
