Comments,Gender,Reason
Rooms were clean.,female,leisure
nothing,female,business
Excellent value for money,male,leisure
Parking too small. No free wifi in rooms. No crib for our child.,female,leisure
"Comfortable rooms, outstanding breakfast, nice service",male,business
Quiet location right on the beach.,female,business
Pleasant service,female,leisure
View on the beautiful countryside and the sea.,male,leisure
Beautiful location,female,business
"The service, the cleanness and neatness of  room and  bath room. Rich and imaginative breakfast buffet",female,business
Outstanding services,male,business
"Excellent location by the  beach, diverse excursion offerings, varied buffet, friendly service staff",male,business
"Friendly room service, attentive staff",female,leisure
"The hotel staff was always very courteous. The breakfast buffet was very monotonous,  every morning the same offer and there were no fresh fruit",female,leisure
"Clean hotel, but small room.",male,business
"the sun terrace was wonderful, and the spa was very nice.",female,business
"Very quiet, but very expensive",male,leisure
"Breakfast Buffet, luxurious bathrooms. Friendliness of the staff, tour guides",female,business
"Excellent price/quality ratio, great technical equipment of the room, but noisy at night",male,leisure
"Friendly service,  quietness and  cleanliness throughout the whole hotel. The beds were a bit too small, you could not stretch out.",male,leisure
"Service, quiet location, room facilities, but no parking facilities",male,leisure
"Selection at  breakfast buffet, nice size of the rooms, attentive staff",female,leisure
"nice atmosphere, great decoration, great service; but  breakfast hours too limited.",female,business
"Breakfast buffet, lounge, good service",female,leisure
"I enjoyed the good food, the friendly staff, the room, the cleanliness, the view, the proximity to the city center,  beach, sea, the transport, the accessibility",male,business
"My wife and I appreciated the size of rooms, the lounge, the spa and the restaurant.",male,leisure
I appreciated the rooms and the service,male,business
good service,female,leisure
Small room but cosy. Great restaurant.,male,business
Small but cozy room. However night porter was extremely offensive,female,business
Great room decor and the friendliness of the staff.,male,business
Everything was fine. Hotel was in good condition,female,leisure
Price-performance ratio is right. Location is fantastic. ,female,leisure
The rooms are very well appointed,male,business
The view is spectacular! Great renovation,female,leisure
The location of the hotel is really great. Poor staff,female,leisure
"The rooms were newly renovated, quite spacious and  clean. Prices are reasonable.",female,leisure
"a hotel with good price / performance ratio, but air conditioning is not individually adjustable",male,business
"We were very satisfied by the accommodation, the location and the service. Besides, rooms were extremely clean. We would return",female,leisure
Very well-kept house in a central location.,female,leisure
Highly recommended,male,business
Hotel crew very friendly and accommodating.,male,leisure
The hotel was very acceptable.,female,business
The price was absolutely great,male,business
The rooms are extremely clean and spacious.,female,business
"The hotel is very quiet, but rooms weren't cleaned daily.",female,leisure
The staff was friendly and accommodating.,male,leisure
Friendly and courteous staff.,male,business
"We immediately felt comfortable, like at home.",male,business
Very beautiful. The suites are well-furnished and very nice.,male,leisure
very well run hotel,male,leisure
quiet hotel,female,business
very quiet Hhotel,male,business
I highly recommend this hotel. Very nice and helpful service.,male,leisure
